id,frame,execution_id,mixr_type,asa_type,asa_custom_type,payload,sim_time,utc_time,execution_uuid,batch_id,experiment
135107492,0,139820,1,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T16:20:37-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107493,0,139820,3,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T16:20:37-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107494,68,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:05.12-03:00,1970-01-01T16:20:42.580101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107495,68,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:05.12-03:00,1970-01-01T16:20:42.580101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107496,4996,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:05.12-03:00,1970-01-01T16:24:42.580101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107497,4996,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:05.12-03:00,1970-01-01T16:24:42.580101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107498,5570,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 16, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:04:32.82-03:00,1970-01-01T16:25:10.280101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107499,7507,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 1, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 15, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:05:41.22-03:00,1970-01-01T16:26:18.680101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107500,7974,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 1, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 15, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:06:03.72-03:00,1970-01-01T16:26:41.180101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107501,9164,139820,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 2, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 14, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:06:44.42-03:00,1970-01-01T16:27:21.880101-03:00,f78dfa3c-8703-448a-8716-b696cc1316f7,2610,0
135107502,0,139828,1,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T16:20:37-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107503,0,139828,3,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T16:20:37-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107504,68,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:05.12-03:00,1970-01-01T16:20:42.580312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107505,68,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:05.12-03:00,1970-01-01T16:20:42.580312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107506,4996,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:05.12-03:00,1970-01-01T16:24:42.580312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107507,4996,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:05.12-03:00,1970-01-01T16:24:42.580312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107508,5570,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 16, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:04:32.82-03:00,1970-01-01T16:25:10.280312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
135107509,7507,139828,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 1, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 0, 'bmb_remaining': 0, 'sam_remaining': 15, 'building_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:05:41.22-03:00,1970-01-01T16:26:18.680312-03:00,ed951339-9d74-4f6f-879b-148f64ccf754,2610,8
