id,frame,execution_id,mixr_type,asa_type,asa_custom_type,payload,sim_time,utc_time,execution_uuid,batch_id,experiment
135117404,0,140093,1,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117405,0,140093,3,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117406,3,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:00:00.12-03:00,1970-01-01T09:08:25.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117407,3,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:00:00.12-03:00,1970-01-01T09:08:25.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117408,305,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:10.12-03:00,1970-01-01T09:08:35.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117409,305,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:10.12-03:00,1970-01-01T09:08:35.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117410,7221,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:00.12-03:00,1970-01-01T09:12:25.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117411,7221,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:00.12-03:00,1970-01-01T09:12:25.509018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117412,10002,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:05:32.32-03:00,1970-01-01T09:13:57.709018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117413,11524,140093,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 1, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 79, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:06:15.62-03:00,1970-01-01T09:14:41.009018-03:00,81a6b83e-a366-4029-9b5e-5622b0aa5fea,2613,18
135117414,0,140081,1,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117415,0,140081,3,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117416,3,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:00:00.12-03:00,1970-01-01T09:08:25.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117417,3,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'blue', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 0, 'sam_remaining': 8, 'building_damage': 0.0, 'air_vehicle_damage': 0.0, 'gnd_vehicle_damage': 0.0}",1970-01-01T09:00:00.12-03:00,1970-01-01T09:08:25.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117418,305,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:10.12-03:00,1970-01-01T09:08:35.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117419,305,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:00:10.12-03:00,1970-01-01T09:08:35.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117420,7222,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:00.12-03:00,1970-01-01T09:12:25.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117421,7222,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:04:00.12-03:00,1970-01-01T09:12:25.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117422,9784,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 0, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 80, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:05:25.12-03:00,1970-01-01T09:13:50.498014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117423,11343,140081,1000,1000,asa::models::AsaTeamMetricsState,"{'side': 'red', 'aam_hit': 0, 'sam_hit': 0, 'aam_frat': 0, 'aam_lost': 1, 'sam_frat': 0, 'sam_lost': 0, 'acft_killed': 0, 'acft_damaged': 0, 'bmb_released': 0, 'aam_remaining': 79, 'acft_standing': 4, 'bmb_remaining': 10, 'sam_remaining': 0, 'building_damage': 0.0, 'air_vehicle_damage': 0.0}",1970-01-01T09:06:09.52-03:00,1970-01-01T09:14:34.898014-03:00,c7f4ea49-dfd6-4528-b987-556cb7b33425,2613,6
135117424,0,140092,1,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,a0a694c6-be1e-4f41-9696-1cb122965179,2613,17
135117425,0,140092,3,0,,{},1970-01-01T09:00:00-03:00,1970-01-01T09:08:25-03:00,a0a694c6-be1e-4f41-9696-1cb122965179,2613,17
